NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
ES421;02003;Albacete;Albacete;no;173329;1126989600;1;;no;;ES519C1;no;Albacete;;;;ES519L1;no;Albacete
ES421;02073;Tarazona de la Mancha;Tarazona de la Mancha;no;6235;212680900;2;;no;;;;;;;;ES519L1;no;Albacete
ES421;02029;Chinchilla de Monte-Aragón;Chinchilla de Monte-Aragón;no;4206;679273300;3;;no;;;;;;;;ES519L1;no;Albacete
ES421;02035;Gineta, La;Gineta, La;no;2512;136764700;3;;no;;;;;;;;ES519L1;no;Albacete
ES421;02046;Mahora;Mahora;no;1383;108149100;3;;no;;;;;;;;ES519L1;no;Albacete
ES421;02075;Valdeganga;Valdeganga;no;2028;70656200;3;;no;;;;;;;;ES519L1;no;Albacete
ES421;02901;Pozo Cañada;Pozo Cañada;no;2797;116833800;3;;no;;;;;;;;ES519L1;no;Albacete
ES521;03009;Alcoy;Alcoi;no;58994;129860503;1;;no;;ES537C1;yes;Alcoy/Alcoi;;;;ES537L1;yes;Alcoy
ES521;03056;Cocentaina;Cocentaina;no;11511;52944709;2;;no;;;;;;;;ES537L1;yes;Alcoy
ES521;03032;Benifallim;Benifallim;no;105;13688379;3;;no;;;;;;;;ES537L1;yes;Alcoy
ES521;03086;Millena;Millena;no;237;9773401;3;;no;;;;;;;;ES537L1;yes;Alcoy
ES521;03014;Alicante;Alacant;no;334887;201265845;1;;yes;;ES021C1;no;Alicante/Alacant;;;;ES021L2;no;Alicante/Alacant
ES521;03122;San Vicente del Raspeig;Sant Vicent del Raspeig;no;58385;40550840;1;;yes;;ES558C1;yes;San Vicente del Raspeig/Sant Vicent del Raspeig;;;;ES021L2;no;Alicante/Alacant
ES521;03050;Campello, el;Campello, el;no;28349;55267822;2;;yes;;;;;;;;ES021L2;no;Alicante/Alacant
ES521;03090;Mutxamel;Mutxamel;no;25352;47653187;2;;yes;;;;;;;;ES021L2;no;Alicante/Alacant
ES521;03119;Sant Joan d'Alacant;Sant Joan d'Alacant;no;23915;9638765;2;;yes;;;;;;;;ES021L2;no;Alicante/Alacant
ES611;04013;Almería;Almería;no;198533;295724400;1;;yes;;ES514C1;no;Almería;;;;ES514L1;no;Almería
ES611;04052;Huércal de Almería;Huércal de Almería;no;17651;20927500;2;;yes;;;;;;;;ES514L1;no;Almería
ES611;04101;Viator;Viator;no;5885;20620600;2;;yes;;;;;;;;ES514L1;no;Almería
ES611;04024;Benahadux;Benahadux;no;4382;16615387;2;;yes;;;;;;;;ES514L1;no;Almería
ES611;04074;Pechina;Pechina;no;4037;46056772;3;;no;;;;;;;;ES514L1;no;Almería
