NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
FRK21;01001;L'Abergement-Clémenciat ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01002;L'Abergement-de-Varey ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01004;Ambérieu-en-Bugey ;;no;;;2;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01005;Ambérieux-en-Dombes ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;FR003L2 ;no;European FUA of Lyon
FRK21;01006;Ambléon ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01007;Ambronay ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01008;Ambutrix ;;no;;;2;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01009;Andert-et-Condon ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01010;Anglefort ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01011;Apremont ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01012;Aranc ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01013;Arandas ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01014;Arbent ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01015;Arboys en Bugey ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01016;Arbigny ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01017;Argis ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01019;Armix ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01021;Ars-sur-Formans ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01022;Artemare ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
FRK21;01023;Asnières-sur-Saône ;;no;;;3;no;no;;  ;no;  ;  ;no;  ;  ;no; 
