NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
NL112;GM0003;Appingedam;;no;11721;23777502;2;no;yes;no;;;;;;;NL007L3;no;Groningen
NL112;GM0010;Delfzijl;;no;24716;133074138;2;no;yes;no;;;;;;;NL007L3;no;Groningen
NL113;GM0014;Groningen;;yes;231299;185603117;1;no;no;no;NL007C1;no;Groningen;;;;NL007L3;no;Groningen
NL112;GM0024;Loppersum;;no;9614;111039070;3;no;no;no;;;;;;;NL007L3;no;Groningen
NL230;GM0034;Almere;;no;207904;129185188;1;no;no;no;NL011C1;no;Almere;;;;NL002L3;no;Amsterdam
NL111;GM0037;Stadskanaal;;no;31789;117642998;2;no;no;no;;;;;;;;;
NL111;GM0047;Veendam;;no;27491;76001143;2;no;no;no;;;;;;;NL007L3;no;Groningen
NL230;GM0050;Zeewolde;;no;22309;247226642;2;no;no;no;;;;;;;;;
NL124;GM0059;Achtkarspelen;;no;27852;102230889;2;no;no;no;;;;;;;;;
NL124;GM0060;Ameland;;no;3673;59109897;3;no;yes;no;;;;;;;;;
NL124;GM0072;Harlingen;;no;15758;24961388;2;no;yes;no;;;;;;;NL015L3;no;Leeuwarden
NL126;GM0074;Heerenveen;;no;50257;190089080;2;no;no;no;;;;;;;;;
NL124;GM0080;Leeuwarden;;no;123107;238380523;1;no;no;no;NL015C1;no;Leeuwarden;;;;NL015L3;no;Leeuwarden
NL126;GM0085;Ooststellingwerf;;no;25497;223419247;3;no;no;no;;;;;;;;;
NL126;GM0086;Opsterland;;no;29723;224400479;3;no;no;no;;;;;;;;;
NL124;GM0088;Schiermonnikoog;;no;936;40504781;3;no;yes;no;;;;;;;;;
NL126;GM0090;Smallingerland;;no;55938;117308664;2;no;no;no;;;;;;;;;
NL124;GM0093;Terschelling;;no;4890;85256751;3;no;yes;no;;;;;;;;;
NL124;GM0096;Vlieland;;no;1138;39146540;3;no;yes;no;;;;;;;;;
NL126;GM0098;Weststellingwerf;;no;25840;220300946;3;no;no;no;;;;;;;;;
NL131;GM0106;Assen;;no;67963;81885589;1;no;no;no;NL522C1;no;Assen;;;;NL522L3;no;Assen
NL132;GM0109;Coevorden;;no;35483;296067619;3;no;no;no;;;;;;;;;
NL132;GM0114;Emmen;;no;107113;335184281;2;no;no;no;;;;;;;;;
NL133;GM0118;Hoogeveen;;no;55662;127539827;2;no;no;no;;;;;;;;;
NL133;GM0119;Meppel;;no;33564;55527078;2;no;no;no;;;;;;;;;
NL213;GM0141;Almelo;;no;72849;67270618;1;no;no;no;NL519C1;no;Almelo;;;;NL519L3;no;Almelo
NL213;GM0147;Borne;;no;23210;26001031;2;no;no;no;;;;;;;NL008L3;no;Enschede
NL211;GM0148;Dalfsen;;no;28499;165074066;2;no;no;no;;;;;;;NL511L3;no;Zwolle
NL212;GM0150;Deventer;;no;99957;130680491;1;no;no;no;NL513C1;no;Deventer;;;;NL513L3;no;Deventer
NL213;GM0153;Enschede;;no;158986;140831908;1;no;no;no;NL008C1;no;Enschede;;;;NL008L3;no;Enschede
NL213;GM0158;Haaksbergen;;no;24277;104821755;2;no;no;no;;;;;;;NL008L3;no;Enschede
NL211;GM0160;Hardenberg;;no;60574;312277959;3;no;no;no;;;;;;;;;
NL213;GM0163;Hellendoorn;;no;35808;137912992;2;no;no;no;;;;;;;;;
NL213;GM0164;Hengelo;;no;80683;60840279;1;no;no;no;NL517C1;no;Hengelo;;;;NL008L3;no;Enschede
NL211;GM0166;Kampen;;no;53779;142182467;2;no;no;no;;;;;;;NL511L3;no;Zwolle
NL213;GM0168;Losser;;no;22622;98762853;2;no;no;no;;;;;;;NL008L3;no;Enschede
NL230;GM0171;Noordoostpolder;;no;46849;458167474;2;no;no;no;;;;;;;;;
NL213;GM0173;Oldenzaal;;no;31840;21554928;2;no;no;no;;;;;;;NL008L3;no;Enschede
NL211;GM0175;Ommen;;no;17813;179897206;2;no;no;no;;;;;;;NL511L3;no;Zwolle
NL212;GM0177;Raalte;;no;37511;170994062;2;no;no;no;;;;;;;NL511L3;no;Zwolle
NL211;GM0180;Staphorst;;no;17003;133989743;2;no;no;no;;;;;;;NL511L3;no;Zwolle
NL213;GM0183;Tubbergen;;no;21276;147003593;3;no;no;no;;;;;;;NL519L3;no;Almelo
NL230;GM0184;Urk;;no;20776;13154390;2;no;no;no;;;;;;;;;
NL213;GM0189;Wierden;;no;24351;94628094;2;no;no;no;;;;;;;NL519L3;no;Almelo
NL211;GM0193;Zwolle;;no;127497;111104428;1;no;no;no;NL511C1;no;Zwolle;;;;NL511L3;no;Zwolle
NL225;GM0197;Aalten;;no;27011;96538509;2;no;no;no;;;;;;;;;
NL221;GM0200;Apeldoorn;;no;162445;339892133;1;no;no;no;NL014C1;no;Apeldoorn;;;;NL014L3;no;Apeldoorn
NL226;GM0202;Arnhem;;no;159265;97823346;1;no;no;no;NL009C2;no;Greater Arnhem;;;;NL009L3;no;Arnhem
NL221;GM0203;Barneveld;;no;57971;175896728;2;no;no;no;;;;;;;;;
NL226;GM0209;Beuningen;;no;25882;43650958;2;no;no;no;;;;;;;NL013L3;no;Nijmegen
NL225;GM0213;Brummen;;no;20698;83645381;2;no;no;no;;;;;;;NL014L3;no;Apeldoorn
NL224;GM0214;Buren;;no;26568;133888122;3;no;no;no;;;;;;;;;
NL224;GM0216;Culemborg;;no;28555;29285612;2;no;no;no;;;;;;;NL004L3;no;Utrecht
NL226;GM0221;Doesburg;;no;11148;11527332;2;no;no;no;;;;;;;NL009L3;no;Arnhem
NL225;GM0222;Doetinchem;;no;57555;79047189;2;no;no;no;;;;;;;;;
NL226;GM0225;Druten;;no;18797;37637703;2;no;no;no;;;;;;;NL013L3;no;Nijmegen
NL226;GM0226;Duiven;;no;25332;33901163;2;no;no;no;;;;;;;NL009L3;no;Arnhem
NL221;GM0228;Ede;;no;115710;318182480;1;no;no;no;NL512C2;no;Greater Ede;;;;NL512L3;no;Ede
