Code_BuildingVariant,Country,BuildingType,Age,Age_plot,n_air_infiltration,WWR,U_Wall_avg,U_Roof_avg,U_Floor_avg,U_Window_avg,g_Window_avg,set_p_T,n_air_use,q_int_tot,F_sh_hor,F_sh_ver,F_f,F_w,EU_set_p_T,EU_n_air_use,EU_q_int_tot,EU_F_sh_hor,EU_F_sh_ver,EU_F_f,EU_F_w,EU_q_int_tot,A_C_Ref,A_C_ExtDim,Code_AttachedNeighbours,n_Storey,Unit_m2,n_Apartment,q_h_nd,ClimateZone,Age_Harmonized,Age_plot_Harmonized,BuildingType3,WWR_harm_mean,WWR_harm_shape,WWR_harm_scale,U_Wall_harm_mean,U_Wall_harm_shape,U_Wall_harm_scale,U_Window_harm_mean,U_Window_harm_shape,U_Window_harm_scale,U_Roof_harm_mean,U_Roof_harm_shape,U_Roof_harm_scale,U_Floor_harm_mean,U_Floor_harm_shape,U_Floor_harm_scale,g_Window_harm_mean,g_Window_harm_shape,g_Window_harm_scale,n_air_infiltration_harm_mean,n_air_infiltration_harm_scale,n_air_infiltration_harm_shape,n_air_use_harm_mean,n_air_use_harm_scale,n_air_use_harm_shape,set_p_T_harm_mean,F_f_harm_mean,F_sh_ver_harm_mean,F_sh_hor_harm_mean,q_int_tot_harm_mean
AT.N.AB.01.Gen.ReEx.001.001,Austria,AB,1919,1919.0,0.2,0.1386602122961827,1.1,0.798479087,0.708661417,2.2,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,1230.7,1538.4,B_Alone,4.0,102.55833333333334,12.0,176.0,Temperate,1900-1944,1920,AB,0.11210412638072037,0.1735692480542787,0.11042453443688195,1.4960299337523282,0.2653662258128862,1.4438984891744762,2.65,0.18909901672296947,2.6267851073127395,0.9876474359882433,0.21358028378124663,0.9646364083956843,1.0903728640380956,0.4440030197070813,0.9762627943096112,0.65625,0.05,0.6560492480734295,0.4,0.4,0.13,0.5,0.5,0.05,20,0.3,0.65,0.82,4
AT.N.AB.02.Gen.ReEx.001.001,Austria,AB,1919-1944,1931.5,0.2,0.1224806201550387,1.9,0.798479087,0.708661417,2.2,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,1183.32,1479.15,B_N2,4.0,84.52285714285713,14.0,227.1,Temperate,1900-1944,1920,AB,0.11210412638072037,0.1735692480542787,0.11042453443688195,1.4960299337523282,0.2653662258128862,1.4438984891744762,2.65,0.18909901672296947,2.6267851073127395,0.9876474359882433,0.21358028378124663,0.9646364083956843,1.0903728640380956,0.4440030197070813,0.9762627943096112,0.65625,0.05,0.6560492480734295,0.4,0.4,0.13,0.5,0.5,0.05,20,0.3,0.65,0.82,4
AT.N.AB.03.Gen.ReEx.001.001,Austria,AB,1945-1960,1952.5,0.2,0.163630200830438,1.4,1.125827815,0.769230769,2.2999999999999994,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,810.472,1013.09,B_Alone,4.0,67.53933333333333,12.0,185.1,Temperate,1945-1969,1958,AB,0.19119668892268088,0.40613146984988396,0.17509499840228793,1.5422325332210784,0.3888698051124428,1.4229941270197923,2.65,0.132851582866503,2.6267851073127395,0.8426803832609218,0.25140417083249217,0.8173775199260279,1.5,0.5111107812396969,1.5,0.675,0.05,0.674536878161602,0.4,0.4,0.13,0.5,0.5,0.05,20,0.3,0.65,0.82,4
AT.N.AB.04.Gen.ReEx.001.001,Austria,AB,1961-1980,1970.5,0.2,0.1615107477525851,1.1,0.9,0.64516129,2.6,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,935.6,1169.5,B_Alone,4.0,77.96666666666667,12.0,184.2,Temperate,1970-1979,1975,AB,0.1727973502645741,0.06541011432086918,0.17242835283732855,1.2788214258111037,0.5168350398007334,1.1354608736923784,2.2163393558523174,0.2245555513445179,2.1646709405807383,0.7508565832484699,0.20351528623003373,0.7356216029648885,0.7588709675,0.23104047045149784,0.7372238853456515,0.667439120188531,0.05,0.6671299212261865,0.35,0.35,0.13,0.5,0.5,0.05,20,0.3,0.65,0.82,4
AT.N.AB.05.Gen.ReEx.001.001,Austria,AB,1981-1990,1985.5,0.2,0.1418882170393831,0.6999999999999998,0.5716368082004984,0.6257394084732215,2.5,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,1360.8,1701.0,B_N1,4.0,97.2,14.0,59.3,Temperate,1980-1989,1985,AB,0.16342427408333363,0.13665744688048953,0.1618712953752517,0.8779724175880066,0.36498140578583,0.8249738689860235,1.9999209515937184,0.3228375312533178,1.9099699797191503,0.5042832827889776,0.1332684054197738,0.4998385260189601,0.5377907841183054,0.08985827101249248,0.5355503518310687,0.6321400339854899,0.05,0.6318466655368573,0.2,0.2,0.13,0.5,0.5,0.05,20,0.3,0.65,0.82,4
AT.N.AB.06.Gen.ReEx.001.001,Austria,AB,1991-2000,1995.5,0.2,0.1884840708580749,0.35,0.188679245,0.357142857,1.4,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,906.2,1132.7,B_Alone,4.0,64.72857142857143,14.0,93.1,Temperate,1990-1999,1995,AB,0.1884840708580749,0.05,0.18848407085807492,0.4394181682955509,0.3589398198795047,0.4148018141119461,1.325,0.10442623381616557,1.3180873682873682,0.27526286499999997,0.22816031221686423,0.2684446305952169,0.36785714275,0.05,0.3674061944333782,0.6375,0.05,0.6371223351099032,0.2,0.2,0.13,0.5,0.5,0.05,20,0.3,0.65,0.82,4
AT.N.AB.07.Gen.ReEx.001.001,Austria,AB,2001-2009,2005.0,0.2,0.1884934450036803,0.2550264084507042,0.1641434118771008,0.2215073530714286,1.4,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,906.2,1132.7,B_Alone,5.0,36.248000000000005,25.0,73.3,Temperate,2000-2009,2005,AB,0.18126907865573502,0.2551614599514148,0.17569529482643384,0.2952203851806739,0.36281450131824533,0.27580441301226133,1.4,0.05,1.4,0.17987233096927518,0.08317959396852644,0.1792489346163158,0.22104443126785714,0.0666422415698549,0.22056384140203736,0.605,0.07451778958024391,0.6033241251599343,0.15,0.15,0.13,0.5,0.5,0.05,20,0.3,0.65,0.82,4
AT.N.AB.08.Gen.ReEx.001.001,Austria,AB,2010,2010.0,0.1,0.1884821961408394,0.35,0.2,0.357142857,1.4,0.65,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,906.2,1132.7,B_Alone,5.0,75.51666666666667,12.0,85.8,Temperate,2010s,2013,AB,0.17358063302559745,0.08605990901707983,0.17293981490185995,0.2509859530824419,0.2119816253358662,0.245445269279842,1.4,0.05,1.4,0.2,0.05,0.2,0.36785714275,0.05,0.3674061944333782,0.605,0.05,0.6033241251599343,0.15,0.15,0.13,0.5,0.5,0.05,20,0.3,0.65,0.82,4
AT.N.MFH.01.Gen.ReEx.001.001,Austria,MFH,1919,1919.0,0.2,0.1016671330907927,1.1,1.230283912,1.3004644963567804,2.2,0.6499999999999999,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,330.8,413.5,B_Alone,3.0,82.7,4.0,229.2,Temperate,1900-1944,1920,MF_TH,0.08969821599950636,0.13645624430580777,0.08886601462683758,1.4960299337523282,0.2653662258128862,1.4438984891744762,2.65,0.18909901672296947,2.6267851073127395,0.9876474359882433,0.21358028378124663,0.9646364083956843,1.0903728640380956,0.4440030197070813,0.9762627943096112,0.65625,0.05,0.6560492480734295,0.4,0.4,0.13,0.4,0.4,0.05,20,0.3,0.65,0.82,4
AT.N.MFH.02.Gen.ReEx.001.001,Austria,MFH,1919-1944,1931.5,0.2,0.0746348295871406,1.9,0.798479087,0.708661417,1.4,0.7,20.0,0.4,3.75,0.85,0.6,0.3,0.9,20,0.4,3,0.8,0.6,0.3,0.9,3,295.0,368.7,B_Alone,3.0,73.75,4.0,265.1,Temperate,1900-1944,1920,MF_TH,0.08969821599950636,0.13645624430580777,0.08886601462683758,1.4960299337523282,0.2653662258128862,1.4438984891744762,2.65,0.18909901672296947,2.6267851073127395,0.9876474359882433,0.21358028378124663,0.9646364083956843,1.0903728640380956,0.4440030197070813,0.9762627943096112,0.65625,0.05,0.6560492480734295,0.4,0.4,0.13,0.4,0.4,0.05,20,0.3,0.65,0.82,4
