country_name,gadm_code,all_levels,level_city,local_crs,accuracy_meters
austria,AUT,"[1,3]",3,EPSG:3416,1
belgium,BEL,"[1,4]",4,EPSG:3812,1
bulgaria,BGR,"[1,2]",2,EPSG:7801,1
croatia,HRV,"[1,2]",2,EPSG:3765,1
cyprus,CYP,[1],1,EPSG:6312,1
czechia,CZE,"[1,2]",2,EPSG:5514,1
denmark,DNK,"[1,2]",2,EPSG:4096,1
estonia,EST,"[1,2]",2,EPSG:3301,1
finland,FIN,"[1,4]",4,EPSG:3067,1
france,FRA,"[1,4]",4,EPSG:2154,1
germany,DEU,"[1,4]",4,EPSG:5243,1
greece,GRC,"[1,3]",3,EPSG:2100,1
hungary,HUN,"[1,2]",2,EPSG:23700,1
ireland,IRL,"[1,2]",1,EPSG:29902,1
italy,ITA,"[1,3]",3,EPSG:7794,1
latvia,LVA,"[1,2]",2,EPSG:3059,1
lithuania,LTU,"[1,2]",2,EPSG:3346,1
luxembourg,LUX,"[1,3]",3,EPSG:2169,1
malta,MLT,"[1,2]",2,EPSG:23033,44
netherlands,NLD,"[1,2]",2,EPSG:28992,1
poland,POL,"[1,2]",2,EPSG:2180,1
portugal,PRT,"[1,2]",2,EPSG:3763,1
romania,ROU,"[1,2]",2,EPSG:31600,10
slovakia,SVK,"[1,2]",2,EPSG:5514,1
slovenia,SVN,"[1,2]",2,EPSG:8687,1
spain,ESP,"[1,3]",4,EPSG:2062,missing info
sweden,SWE,"[1,2]",2,EPSG:3152,1
switzerland,CHE,"[1,2]",2,EPSG:2056,1
