Country,Region,BuildingType,Age
Austria,National,SFH,<1919
Austria,National,SFH,1919-1944
Austria,National,SFH,1945-1960
Austria,National,SFH,1961-1980
Austria,National,SFH,1981-1990
Austria,National,SFH,1991-2000
Austria,National,SFH,2001-2009
Austria,National,SFH,2010+
Austria,National,TH,<1919
Austria,National,TH,1919-1944
Austria,National,TH,1945-1960
Austria,National,TH,1961-1980
Austria,National,TH,1981-1990
Austria,National,TH,1991-2000
Austria,National,TH,2001-2009
Austria,National,TH,2010+
Austria,National,MFH,<1919
Austria,National,MFH,1919-1944
Austria,National,MFH,1945-1960
Austria,National,MFH,1961-1980
Austria,National,MFH,1981-1990
Austria,National,MFH,1991-2000
Austria,National,MFH,2001-2009
Austria,National,MFH,2010+
Austria,National,AB,<1919
Austria,National,AB,1919-1944
Austria,National,AB,1945-1960
Austria,National,AB,1961-1980
Austria,National,AB,1981-1990
Austria,National,AB,1991-2000
Austria,National,AB,2001-2009
Austria,National,AB,2010+
Belgium,National,SFH,<1945
Belgium,National,SFH,1946-1970
Belgium,National,SFH,1971-1990
Belgium,National,SFH,1991-2005
Belgium,National,SFH,2006-2011
Belgium,National,SFH,2012+
Belgium,National,TH,<1945
Belgium,National,TH,1946-1970
Belgium,National,TH,1971-1990
Belgium,National,TH,1991-2005
Belgium,National,TH,2006-2011
Belgium,National,TH,2012+
Belgium,National,MFH,<1945
Belgium,National,MFH,1946-1970
Belgium,National,MFH,1971-1990
Belgium,National,MFH,1991-2005
Belgium,National,MFH,2006-2011
Belgium,National,MFH,2012+
Belgium,National,AB,<1945
Belgium,National,AB,1946-1970
Belgium,National,AB,1971-1990
Belgium,National,AB,1991-2005
Belgium,National,AB,2006-2011
Belgium,National,AB,2012+
Bulgaria,National,SFH,<1918
Bulgaria,National,SFH,1919-1929
Bulgaria,National,SFH,1930-1959
Bulgaria,National,SFH,1960-1998
Bulgaria,National,SFH,1999-2008
Bulgaria,National,SFH,2009+
Bulgaria,National,TH,<1918
Bulgaria,National,TH,1919-1929
Bulgaria,National,TH,1930-1959
Bulgaria,National,TH,1960-1998
Bulgaria,National,TH,1999-2008
Bulgaria,National,TH,2009+
Bulgaria,National,MFH,<1918
Bulgaria,National,MFH,1919-1929
Bulgaria,National,MFH,1930-1959
Bulgaria,National,MFH,1960-1998
Bulgaria,National,MFH,1999-2008
Bulgaria,National,MFH,2009+
Bulgaria,National,AB,<1918
Bulgaria,National,AB,1919-1929
Bulgaria,National,AB,1930-1959
Bulgaria,National,AB,1960-1998
Bulgaria,National,AB,1999-2008
Bulgaria,National,AB,2009+
Cyprus,National,SFH,<1980
Cyprus,National,SFH,1981-2006
Cyprus,National,SFH,2007-2013
Cyprus,National,SFH,2014+
Cyprus,National,TH,<1980
Cyprus,National,TH,1981-2006
Cyprus,National,TH,2007-2013
Cyprus,National,TH,2014+
Cyprus,National,MFH,<1980
Cyprus,National,MFH,1981-2006
Cyprus,National,MFH,2007-2013
Cyprus,National,MFH,2014+
Czech Rep.,National,SFH,<1920
Czech Rep.,National,SFH,1921-1945
Czech Rep.,National,SFH,1946-1960
Czech Rep.,National,SFH,1961-1980
Czech Rep.,National,SFH,1981-1994
Czech Rep.,National,SFH,1995-2010
Czech Rep.,National,SFH,2011+
Czech Rep.,National,TH,<1920
Czech Rep.,National,TH,1921-1945
Czech Rep.,National,TH,1946-1960
Czech Rep.,National,TH,1961-1980
Czech Rep.,National,TH,1981-1994
Czech Rep.,National,TH,1995-2010
Czech Rep.,National,TH,2011+
Czech Rep.,National,MFH,<1920
Czech Rep.,National,MFH,1921-1945
Czech Rep.,National,MFH,1946-1960
Czech Rep.,National,MFH,1961-1980
Czech Rep.,National,MFH,1981-1994
Czech Rep.,National,MFH,1995-2010
Czech Rep.,National,MFH,2011+
Czech Rep.,National,AB,<1920
Czech Rep.,National,AB,1921-1945
Czech Rep.,National,AB,1946-1960
Czech Rep.,National,AB,1961-1980
Czech Rep.,National,AB,1981-1994
Czech Rep.,National,AB,1995-2010
Czech Rep.,National,AB,2011+
Germany,National,SFH,<1860
Germany,National,SFH,1860-1918
Germany,National,SFH,1919-1948
Germany,National,SFH,1949-1957
Germany,National,SFH,1958-1968
Germany,National,SFH,1969-1978
Germany,National,SFH,1979-1983
Germany,National,SFH,1984-1994
Germany,National,SFH,1995-2001
Germany,National,SFH,2002-2009
Germany,National,SFH,2010-2015
Germany,National,SFH,2016+
Germany,National,TH,<1860
Germany,National,TH,1860-1918
Germany,National,TH,1919-1948
Germany,National,TH,1949-1957
Germany,National,TH,1958-1968
Germany,National,TH,1969-1978
Germany,National,TH,1979-1983
Germany,National,TH,1984-1994
Germany,National,TH,1995-2001
Germany,National,TH,2002-2009
Germany,National,TH,2010-2015
Germany,National,TH,2016+
Germany,National,MFH,<1860
Germany,National,MFH,1860-1918
Germany,National,MFH,1919-1948
Germany,National,MFH,1949-1957
Germany,National,MFH,1958-1968
Germany,National,MFH,1969-1978
Germany,National,MFH,1979-1983
Germany,National,MFH,1984-1994
Germany,National,MFH,1995-2001
Germany,National,MFH,2002-2009
Germany,National,MFH,2010-2015
Germany,National,MFH,2016+
Germany,National,AB,<1860
Germany,National,AB,1860-1918
Germany,National,AB,1919-1948
Germany,National,AB,1949-1957
Germany,National,AB,1958-1968
Germany,National,AB,1969-1978
Germany,National,AB,1979-1983
Germany,National,AB,1984-1994
Germany,National,AB,1995-2001
Germany,National,AB,2002-2009
Germany,National,AB,2010-2015
Germany,National,AB,2016+
Germany,Eastern Germany,MFH,1949-1957
Germany,Eastern Germany,MFH,1958-1968
Germany,Eastern Germany,AB,1969-1978
Germany,Eastern Germany,AB,1979-1983
Germany,Eastern Germany,AB,1984-1994
Denmark,National,SFH,<1850
Denmark,National,SFH,1851-1930
Denmark,National,SFH,1931-1950
Denmark,National,SFH,1951-1960
Denmark,National,SFH,1961-1972
Denmark,National,SFH,1973-1978
Denmark,National,SFH,1979-1998
Denmark,National,SFH,1999-2006
Denmark,National,SFH,2007-2010
Denmark,National,SFH,2011+
Denmark,National,TH,<1850
Denmark,National,TH,1851-1930
Denmark,National,TH,1931-1950
Denmark,National,TH,1951-1960
Denmark,National,TH,1961-1972
Denmark,National,TH,1973-1978
Denmark,National,TH,1979-1998
