name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0
Spain_type,0.35510329771365,0.0,19.08872557834108,0.0,26.061900419444637,0.0,0.18729494716828612,0.36280547845488886,0.6339635539535113,0.35510329771365
France_type,0.417017126452608,0.0,17.821465806522948,0.0,24.218595942337505,0.0,0.2196702920425892,0.4127715254567913,0.6746198190320044,0.417017126452608
Netherlands_type,0.4398284804048672,0.0,14.303374728831944,0.0,19.862268591018253,0.0,0.2957310853948319,0.5101614832865625,0.7460533352445956,0.4398284804048672
Spain_height,0.3653412139709885,0.0,18.838525679869132,0.0,25.85420281309689,0.0,0.19151560721414784,0.3699860651714866,0.6425855679924775,0.3653412139709885
Spain_all,0.3746791410792011,0.0,18.669916612634655,0.0,25.663297637833665,0.0,0.19380611565237474,0.37360793486150745,0.646411846099279,0.3746791410792011
France_height,0.4185109755625519,0.0,17.747594591999352,0.0,24.187546887715094,0.0,0.22314224579627773,0.4175188248688548,0.6773998620763532,0.4185109755625519
France_all,0.42843606384686006,0.0,17.58591296613664,0.0,23.980237084820285,0.0,0.22469654401021028,0.4201282869145305,0.6809749772159223,0.42843606384686006
Netherlands_height,0.4641259143551526,0.0,13.903681312562002,0.0,19.426730522092925,0.0,0.3065600402835284,0.5236334934015507,0.7565367927180907,0.4641259143551526
Netherlands_all,0.46433338177054895,0.0,13.895980481582859,0.0,19.422969560464754,0.0,0.30669088824077495,0.5240892559492634,0.7568150284024604,0.46433338177054895
Spain_baseline,0.34383633767399535,0.0,19.29429674706287,0.0,26.288577759094938,0.0,,,,0.34383633767399535
France_baseline,0.40645597837125613,0.0,17.99945084706032,0.0,24.436979854756796,0.0,,,,0.40645597837125613
Netherlands_baseline,0.43962880338330246,0.0,14.310711626614006,0.0,19.865808297275656,0.0,,,,0.43962880338330246
Spain_neighborhood-features,0.24407076532128502,0.0,21.18797739109388,0.0,28.216398076157308,0.0,0.15528891956876784,0.31019003023079333,0.5808269029315208,0.24407076532128502
France_neighborhood-features,0.2522515811608459,0.0,20.81337876813722,0.0,27.428295202180905,0.0,0.18054690956622826,0.3452915788839689,0.5955977806338777,0.2522515811608459
Spain_building-features,0.27882188879348235,0.0,20.627308607498694,0.0,27.560194067104675,0.0,0.15649036677004802,0.31424791106455285,0.5922169368741442,0.27882188879348235
France_building-features,0.28823646147189474,0.0,20.20154437812212,0.0,26.76017391793855,0.0,0.18372334242056626,0.3528336140226126,0.6107354114690869,0.28823646147189474
Spain_spatially-explicit-features,0.3194484941055902,0.0,19.82074699368502,0.0,26.77265876254035,0.0,0.1705717352392893,0.33847353052773976,0.6156800845884818,0.3194484941055902
Spain_residential,0.34088453844039,0.0,19.38909066646452,0.0,26.28712087573801,0.0,0.18623168494401618,0.35942724572820084,0.6244879188502135,0.34088453844039
France_spatially-explicit-features,0.36067799191931105,0.0,18.974320606843524,0.0,25.36184772979438,0.0,0.19872248691048738,0.37908245554108977,0.6426759479958244,0.36067799191931105
France_residential,0.43689615990611574,0.0,16.956240747830503,0.0,23.261602522270255,0.0,0.23200668899717855,0.4332247953995625,0.6984262422786061,0.43689615990611574
