,precision,recall,f1-score,support,kappa,mcc,accuracy,energy_r2,energy_mape
1900-1909,0.21784314978590777,0.36974025648941583,0.2741581236504922,119849.0,,,,,
1910-1919,0.16719625128274873,0.11517071633579465,0.13639068472702698,117417.0,,,,,
1920-1929,0.23307975258102298,0.2671080731065122,0.24893642105936262,233194.0,,,,,
1930-1939,0.3047813345356177,0.42801515770279125,0.35603617743216076,315879.0,,,,,
1940-1949,0.1975265389062117,0.04797644576057728,0.07720167877364627,117516.0,,,,,
1950-1959,0.36390319767703194,0.3558762505934275,0.35984496606410266,454984.0,,,,,
1960-1969,0.4944121490394905,0.49063062706531846,0.49251412953085194,758055.0,,,,,
1970-1979,0.530391537379115,0.48425369210720665,0.506273627025842,977626.0,,,,,
1980-1989,0.5192442585287862,0.4481103058851209,0.48106188170911385,816058.0,,,,,
1990-1999,0.41802005604889086,0.37062371836129865,0.3928976619090311,668090.0,,,,,
2000-2009,0.3630069256259005,0.36174739546270956,0.3623760660932712,555089.0,,,,,
2010-2019,0.27658115082518464,0.42987197446639774,0.336595539460139,307673.0,,,,,
macro avg,0.3404988585179924,0.3474270511113809,0.33535724645292003,5441430.0,,,,,
weighted avg,0.4168153891567856,0.4069851123693588,0.40802875547510276,5441430.0,,,,,
total,,,,,0.33235817508166887,0.33291980259306103,0.4069851123693588,,
fold_0,,,,,,0.3371549150506384,,,
fold_1,,,,,,0.34038536183546586,,,
fold_2,,,,,,0.3285532183874412,,,
fold_3,,,,,,0.33175955220712106,,,
fold_4,,,,,,0.3257320933400478,,,
