name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,R2_seed_0
Spain_neighborhood-cv,0.34383633767399535,0.0,19.29429674706287,0.0,26.288577759094938,0.0,0.34383633767399535
All_neighborhood-cv,0.3827176631344352,0.0,17.755196172296834,0.0,24.252366162504917,0.0,0.3827176631344352
France_neighborhood-cv,0.40645597837125613,0.0,17.99945084706032,0.0,24.436979854756796,0.0,0.40645597837125613
Spain_random-cv,0.42805995221683535,0.0,17.4779047709323,0.0,24.543486533648412,0.0,0.42805995221683535
Netherlands_neighborhood-cv,0.43962880338330246,0.0,14.310711626614006,0.0,19.865808297275656,0.0,0.43962880338330246
All_random-cv,0.45036007860443594,0.0,16.203572241880934,0.0,22.885021562886617,0.0,0.45036007860443594
France_random-cv,0.45559323091811177,0.0,16.841685411455938,0.0,23.40360834034213,0.0,0.45559323091811177
Netherlands_random-cv,0.6328572851890981,0.0,10.084358558421547,0.0,16.079990788812307,0.0,0.6328572851890981
Spain_city-cv,0.31506846589886417,0.0,19.881623219890717,0.0,26.85867497508484,0.0,0.31506846589886417
All_city-cv,0.35602161736814386,0.0,18.293709152049352,0.0,24.77124507564901,0.0,0.35602161736814386
Netherlands_city-cv,0.3796365590474383,0.0,15.3462649651985,0.0,20.902172919888436,0.0,0.3796365590474383
France_city-cv,0.3916150312800427,0.0,18.325578751740526,0.0,24.74060417415268,0.0,0.3916150312800427
All_country-cv,-0.0234342993471639,,25.340800582743082,,31.227856532662383,,
France_country-cv,0.1345755680332048,,23.83361566245537,,29.507719007386044,,
Spain_country-cv,-0.14539251556373656,,28.582238154785205,,34.73267027039643,,
Netherlands_country-cv,-0.17823426871260106,,23.376911601289457,,28.806080043813065,,
Spain_block-cv,0.3844879423370191,0.0,18.452138242843173,0.0,25.46122445606724,0.0,0.3844879423370191
All_block-cv,0.4135313780347367,0.0,17.01412050886253,0.0,23.639298355289785,0.0,0.4135313780347367
France_block-cv,0.42128226811036285,0.0,17.607518390047012,0.0,24.129840876736584,0.0,0.42128226811036285
Netherlands_block-cv,0.5134470454923816,0.0,12.50949543998042,0.0,18.511149794655225,0.0,0.5134470454923816
