name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0
France_city-cv,0.45015335041561455,0.0,1.3069257187214693,0.0,1.8560032561893944,0.0,0.9823475390253211,0.9982199681626265,0.9998035877347276,0.45015335041561455
France_neighborhood-cv,0.48281860417113354,0.0,1.263358243623676,0.0,1.8000285326044223,0.0,0.9836507934021769,0.9983687653332874,0.9998266643485634,0.48281860417113354
France_block-cv,0.5113701013520768,0.0,1.2274456493393748,0.0,1.7496370270130248,0.0,0.9849342081562777,0.9985281088297285,0.9998477570001237,0.5113701013520768
France_random-cv,0.560936329807916,0.0,1.1683687230403814,0.0,1.6585237461523585,0.0,0.9873703049924323,0.9988416792883215,0.9998854522833579,0.560936329807916
All_city-cv,0.5654028958016064,0.0,1.2260164820300843,0.0,1.9922256726613206,0.0,0.9777960819901782,0.9964809115366875,0.9995953844824705,0.5654028958016064
Spain_city-cv,0.5705654044372037,0.0,1.4322429437231874,0.0,2.4453428706411025,0.0,0.9627652470948974,0.9931619495466127,0.9991935814495589,0.5705654044372037
All_neighborhood-cv,0.6067230229372166,0.0,1.1741336418141668,0.0,1.8951534468391709,0.0,0.9807070646128186,0.9972181623324419,0.9996712471029405,0.6067230229372166
Spain_neighborhood-cv,0.6199116473362702,0.0,1.3623635848958404,0.0,2.300559808065528,0.0,0.9679079243205958,0.9946484116598923,0.999433071522425,0.6199116473362702
All_block-cv,0.6356553498995301,0.0,1.1318744457791536,0.0,1.824111228273068,0.0,0.9827090791670177,0.9976306764875142,0.9997210486820253,0.6356553498995301
Spain_block-cv,0.6603807623263676,0.0,1.2841533916177075,0.0,2.174640083970774,0.0,0.9724981507171916,0.9956407394533375,0.9995670235970786,0.6603807623263676
All_random-cv,0.67082921927292,0.0,1.0843870429878488,0.0,1.733826981038776,0.0,0.9850365443630325,0.9981456944303627,0.99980387281355,0.67082921927292
Spain_random-cv,0.7060206535341657,0.0,1.2032838135639905,0.0,2.023250505330797,0.0,0.9770910832163057,0.996828583153727,0.9997429202607654,0.7060206535341657
Netherlands_city-cv,0.7565156753927621,0.0,0.7343540867074293,0.0,1.3447905360124566,0.0,0.9934188255660736,0.998800315358279,0.9996918089546314,0.7565156753927621
Netherlands_neighborhood-cv,0.7725545205899904,0.0,0.7060791211814902,0.0,1.2997439225645544,0.0,0.9942333173448891,0.9988508535440132,0.9997028354678824,0.7725545205899904
Netherlands_block-cv,0.7893051767044198,0.0,0.6639763178530325,0.0,1.2509676336582274,0.0,0.994678788480234,0.9988973486748888,0.999714597082017,0.7893051767044198
Netherlands_random-cv,0.8382291924192002,0.0,0.5648871640835853,0.0,1.0961480546920908,0.0,0.9961396177107856,0.9991627200937989,0.999777999533211,0.8382291924192002
